# Time (s)	LoadVolt (V)	Load (kg)
0.007	0.076	3.785
0.208	0.078	3.865
0.409	0.078	3.861
0.610	0.078	3.874
0.811	0.078	3.854
1.012	0.078	3.864
1.213	0.078	3.877
1.414	0.078	3.858
1.615	0.078	3.868
1.816	0.078	3.854
2.017	0.078	3.853
2.218	0.078	3.860
2.420	0.078	3.851
2.621	0.078	3.870
2.822	0.078	3.865
3.023	0.078	3.865
3.224	0.078	3.859
3.425	0.078	3.865
3.626	0.078	3.856
3.828	0.078	3.863
4.029	0.078	3.861
4.230	0.078	3.872
4.431	0.078	3.861
4.632	0.078	3.867
4.833	0.078	3.871
5.034	0.078	3.877
5.236	0.078	3.875
5.437	0.078	3.864
5.638	0.078	3.864
5.839	0.078	3.872
6.040	0.078	3.868
6.241	0.078	3.868
6.442	0.078	3.872
6.644	0.078	3.875
6.845	0.078	3.868
7.046	0.078	3.880
7.247	0.078	3.874
7.448	0.078	3.874
7.649	0.078	3.879
7.850	0.078	3.874
8.052	0.078	3.890
8.253	0.078	3.871
8.454	0.078	3.873
8.655	0.078	3.888
8.856	0.078	3.880
9.057	0.078	3.890
9.258	0.078	3.894
9.460	0.079	3.909
9.661	0.078	3.897
9.862	0.079	3.903
10.063	0.078	3.883
10.264	0.079	3.903
10.465	0.078	3.894
10.666	0.078	3.897
10.868	0.079	3.900
11.069	0.079	3.906
11.270	0.079	3.913
11.471	0.079	3.905
11.672	0.079	3.915
11.873	0.079	3.920
12.074	0.079	3.921
12.276	0.079	3.914
12.477	0.079	3.931
12.678	0.079	3.919
12.879	0.079	3.934
13.080	0.079	3.919
13.281	0.079	3.932
13.482	0.079	3.922
13.684	0.079	3.932
13.885	0.079	3.941
14.086	0.079	3.933
14.287	0.079	3.924
14.488	0.079	3.944
14.689	0.080	3.955
14.890	0.080	3.951
15.092	0.080	3.961
15.293	0.080	3.966
15.494	0.080	3.966
15.695	0.080	3.968
15.896	0.080	3.984
16.097	0.081	3.998
16.298	0.081	4.002
16.500	0.081	4.006
16.701	0.082	4.055
16.902	0.083	4.101
17.103	0.083	4.137
17.304	0.084	4.184
17.505	0.084	4.175
17.706	0.084	4.175
17.908	0.085	4.242
18.109	0.086	4.262
18.310	0.081	4.036
18.511	0.082	4.055
18.712	0.084	4.195
18.913	0.086	4.281
19.114	0.086	4.288
19.316	0.087	4.319
19.517	0.087	4.313
19.718	0.087	4.321
19.919	0.087	4.318
20.120	0.087	4.345
20.321	0.087	4.338
20.522	0.087	4.333
20.724	0.087	4.331
20.925	0.088	4.353
21.126	0.088	4.353
21.327	0.088	4.362
21.528	0.088	4.358
21.729	0.088	4.352
21.930	0.088	4.370
22.132	0.088	4.374
22.333	0.088	4.369
22.534	0.088	4.386
22.735	0.089	4.398
22.936	0.089	4.407
23.137	0.089	4.410
23.338	0.089	4.397
23.540	0.089	4.401
23.741	0.089	4.427
23.942	0.089	4.430
24.143	0.089	4.419
24.344	0.089	4.432
24.545	0.089	4.418
24.746	0.089	4.433
24.948	0.089	4.422
25.149	0.089	4.430
25.350	0.090	4.447
25.551	0.089	4.440
25.752	0.090	4.446
25.953	0.090	4.450
26.154	0.089	4.436
26.356	0.090	4.460
26.557	0.090	4.456
26.758	0.089	4.442
26.959	0.090	4.446
27.160	0.090	4.453
27.361	0.090	4.455
27.562	0.090	4.450
27.764	0.090	4.478
27.965	0.090	4.475
28.166	0.090	4.449
28.367	0.090	4.469
28.568	0.090	4.462
28.769	0.090	4.452
28.970	0.090	4.452
29.172	0.090	4.450
29.373	0.090	4.448
29.574	0.089	4.433
29.775	0.090	4.448
29.976	0.089	4.432
30.177	0.089	4.433
30.378	0.089	4.413
30.580	0.088	4.391
30.781	0.088	4.386
30.982	0.088	4.364
31.183	0.087	4.343
31.384	0.087	4.312
31.585	0.087	4.299
31.786	0.086	4.272
31.988	0.085	4.210
32.189	0.084	4.184
32.390	0.084	4.152
32.591	0.084	4.176
32.792	0.083	4.124
32.993	0.082	4.053
33.194	0.081	4.029
33.396	0.081	4.009
33.597	0.080	3.993
33.798	0.080	3.969
33.999	0.080	3.957
34.200	0.079	3.943
34.401	0.079	3.932
34.602	0.079	3.928
34.804	0.079	3.924
35.005	0.079	3.933
35.206	0.079	3.932
35.407	0.079	3.923
35.608	0.079	3.924
35.809	0.079	3.919
36.010	0.079	3.927
36.212	0.079	3.920
36.413	0.079	3.907
36.614	0.078	3.895
36.815	0.078	3.899
37.016	0.079	3.901
37.217	0.079	3.905
37.418	0.078	3.895
37.620	0.079	3.901
37.821	0.079	3.915
38.022	0.079	3.913
38.223	0.078	3.896
38.424	0.078	3.891
38.625	0.078	3.882
38.826	0.078	3.883
39.028	0.078	3.884
39.229	0.079	3.902
39.430	0.078	3.888
39.631	0.078	3.888
39.832	0.078	3.895
40.033	0.079	3.903
40.234	0.078	3.897
40.436	0.079	3.912
40.637	0.078	3.894
40.838	0.078	3.884
41.039	0.078	3.888
41.240	0.078	3.884
41.441	0.079	3.903
41.642	0.078	3.892
41.844	0.079	3.899
42.045	0.078	3.885
42.246	0.078	3.886
42.447	0.078	3.871
42.648	0.078	3.892
42.849	0.078	3.871
43.050	0.079	3.903
43.252	0.078	3.876
43.453	0.078	3.888
43.654	0.078	3.888
43.855	0.078	3.878
44.056	0.078	3.884
44.257	0.078	3.874
44.458	0.078	3.865
44.660	0.078	3.879
44.861	0.078	3.867
45.062	0.078	3.877
45.263	0.078	3.875
45.464	0.078	3.879
45.665	0.078	3.865
45.866	0.078	3.864
46.068	0.078	3.873
46.269	0.078	3.878
46.470	0.078	3.853
46.671	0.078	3.856
46.872	0.078	3.868
47.073	0.078	3.872
47.274	0.078	3.858
47.476	0.078	3.867
47.677	0.078	3.851
47.878	0.078	3.870
48.079	0.078	3.870
48.280	0.078	3.870
48.481	0.078	3.857
48.682	0.078	3.872
48.884	0.078	3.865
49.085	0.078	3.868
49.286	0.078	3.863
49.487	0.078	3.874
49.688	0.078	3.857
49.889	0.078	3.874
50.090	0.078	3.867
